"Stage","TermCount","Terms","CV_RMSE_Mean","CV_RMSE_Std","CV_R2","Fold_RMSE"
"M3","7","Sn + Br + Cl + Cs + Sn*Cl + Cs*Sn + Cs*Br","0.0882769574684413","0.00788100818427721","0.917933365362526","0.10065906;0.08859148;0.08911292;0.08268572;0.08033560"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Cs*Sn + Cs*Br","0.0887372767461275","0.00958257198777677","0.91681286699058","0.10021651;0.09152401;0.09377800;0.08191069;0.07625718"
"M3","7","Sn + Br + Cl + Cs + Br*Cl + Cs*Sn + Cs*Br","0.0859041519928551","0.0123627786488407","0.921471948098828","0.10160349;0.08885688;0.08889965;0.08259314;0.06756759"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Br*Cl + Cs*Sn + Cs*Br","0.0869890223327824","0.0132456678759816","0.919308087327516","0.10107765;0.09126015;0.09403392;0.08179436;0.06677903"
"M3","8","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl + Cs*Sn + Cs*Br","0.0889416116042873","0.00866391921807558","0.916587344834926","0.10241753;0.08909390;0.09036554;0.08270387;0.08012722"
"M3","5","Sn + Br + Cl + Cs + Cs*Cl","0.0857976292668471","0.00995050024297445","0.922122665271706","0.09846195;0.08976489;0.08794711;0.08081965;0.07199455"
"M3","6","Sn + Br + Cl + Cs + Sn*Br + Cs*Cl","0.0860813123619503","0.0107621405180526","0.921462886399318","0.09670156;0.09301170;0.09014940;0.08038276;0.07016114"
"M3","6","Sn + Br + Cl + Cs + Sn*Cl + Cs*Cl","0.0900772237176311","0.00721707285909897","0.914659558916525","0.09932764;0.08971588;0.09450839;0.08074370;0.08609051"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Cs*Cl","0.0897074532135955","0.00947787307375695","0.915015288311217","0.09736278;0.09288333;0.09902848;0.08021963;0.07904304"
"M3","6","Sn + Br + Cl + Cs + Br*Cl + Cs*Cl","0.0856505320244642","0.0101691398953492","0.922348384578358","0.09806333;0.09028388;0.08783658;0.08095290;0.07111597"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Br*Cl + Cs*Cl","0.086007470508721","0.0110059629694267","0.921550079287002","0.09644034;0.09340009;0.09024313;0.08044231;0.06951149"
"M3","7","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl + Cs*Cl","0.0898938038890111","0.00718464650844595","0.91500681362019","0.09887126;0.09023213;0.09445805;0.08087924;0.08502835"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Br*Cl + Cs*Cl","0.0896472657044262","0.010058013368978","0.915029354622474","0.09704607;0.09326592;0.09995117;0.08028024;0.07769294"
"M3","6","Sn + Br + Cl + Cs + Cs*Sn + Cs*Cl","0.0862536162499259","0.00690603763132464","0.921752771954488","0.09642139;0.08876895;0.08585650;0.08175868;0.07846255"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Cs*Sn + Cs*Cl","0.0866379996767666","0.00794315173307927","0.920915822567576","0.09537647;0.09148736;0.08925404;0.08121666;0.07585547"
"M3","7","Sn + Br + Cl + Cs + Sn*Cl + Cs*Sn + Cs*Cl","0.0885586157446051","0.00643217062993361","0.917590458604271","0.09714174;0.08848681;0.09237371;0.08159198;0.08319885"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Cs*Sn + Cs*Cl","0.0888863650576647","0.00916721775494966","0.916602394952215","0.09600024;0.09066756;0.09885858;0.08102425;0.07788119"
"M3","7","Sn + Br + Cl + Cs + Br*Cl + Cs*Sn + Cs*Cl","0.0862213206674169","0.00711435309458481","0.921784836664691","0.09629102;0.08929820;0.08590322;0.08195229;0.07766187"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Br*Cl + Cs*Sn + Cs*Cl","0.0866606644380509","0.00823681423971951","0.920832978145146","0.09531310;0.09190340;0.08958241;0.08134160;0.07516282"
"M3","8","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl + Cs*Sn + Cs*Cl","0.0884793984948378","0.00659480017669085","0.917716953075618","0.09696567;0.08897857;0.09254298;0.08179903;0.08211075"
"M3","6","Sn + Br + Cl + Cs + Cs*Br + Cs*Cl","0.0855789961411444","0.0102151356006617","0.922470290434073","0.09872078;0.08936646;0.08737622;0.08130369;0.07112783"
