Model ID,k,Terms,AIC rank,BIC rank,AIC,BIC,Train RMSE,Test RMSE,Test R2,Contains Cl2,Interaction count
103,3,"Cl, Br², SnCl",271,271,-2042.6273364785288,-2025.6274355094909,0.13815624613849206,0.1648382156981415,0.8265354311713353,No,1
91,3,"Br, Cl², SnCl",274,272,-2039.9606211059393,-2022.9607201369013,0.1385123252529091,0.17625186010215413,0.8016818833474342,Yes,1
233,4,"Cl, Br², Cl², SnCl",272,273,-2040.977219539387,-2019.7273433280898,0.13810959520352076,0.16345943943733765,0.8294251563988531,Yes,1
237,4,"Cl, Br², SnCl, BrCl",273,274,-2040.9405681479661,-2019.6906919366688,0.13811448130233678,0.16351707972723317,0.8293048364346874,No,2
254,4,"Br², Cl², SnCl, BrCl",275,275,-2039.9287391394755,-2018.6788629281782,0.1382494393185319,0.16340466759730296,0.8295394493734092,Yes,2
213,4,"Br, Br², Cl², SnCl",276,276,-2039.854149315891,-2018.6042731045936,0.13825939334606047,0.17900955849584818,0.7954274238697346,Yes,1
374,5,"Cl, Br², Cl², SnCl, BrCl",277,277,-2039.0809860149498,-2013.581134561393,0.13809576274381913,0.16357043059373735,0.8291934325308161,Yes,2
22,2,"Br, Cl²",279,278,-2019.5025449432326,-2006.7526192164541,0.14154773250032915,0.17947431101671632,0.7943638042393736,Yes,0
27,2,"Cl, Br²",280,279,-2018.0347846906886,-2005.2848589639102,0.14174841336570065,0.16824055030584714,0.8193007575916627,No,0
86,3,"Br, Br², Cl²",278,280,-2019.5035464337234,-2002.5036454646854,0.1412746013537799,0.18239467934445114,0.7876172196534332,Yes,0
123,3,"Br², Cl², BrCl",281,281,-2016.8275884723807,-1999.8276875033428,0.14163998123251487,0.1656520075581746,0.8248184444784792,Yes,1
104,3,"Cl, Br², BrCl",282,282,-2016.8156087495622,-1999.8157077805242,0.14164161908726944,0.16581102892368607,0.8244819441021589,No,1
101,3,"Cl, Br², Cl²",283,283,-2016.7567723474917,-1999.7568713784538,0.14164966341149515,0.16592605280865258,0.8242383442484729,Yes,0
234,4,"Cl, Br², Cl², BrCl",284,284,-2014.923523968584,-1993.6736477572867,0.14162686571827707,0.1657294531656981,0.8246546044668154,Yes,1
252,4,"Br², Cl², SnBr, SnCl",285,285,-1998.7577912773204,-1977.507915066023,0.14385414178864506,0.19071242809226974,0.7678049472289302,Yes,2
121,3,"Br², Cl², SnBr",286,286,-1994.225145911163,-1977.225244942125,0.14476410046412572,0.1929298118888608,0.7623741666160178,Yes,1
