cv_rank,model_id,k,terms,pareto_front,cv_rmse,cv_sd,cv_pooled,fold1,fold2,fold3,fold4,fold5,train_rmse,test_rmse,test_r2,cl_rich_rmse,ma_rich_rmse,Sn,Br,Cl,Sn^2,Br^2,Cl^2,SnBr,SnCl,BrCl,formula
286,251,4,"Br², Cl², SnBr, SnCl",No,0.14733030686757534,0.010194575437506771,0.1476189115732269,0.1542275016060988,0.13848159864444357,0.15307049407865106,0.15661004194351894,0.13426189806516428,0.14385414178864506,0.19071242809226974,0.7678049472289302,0.4323508201148981,0.18987364991203712,0,0,0,0,1,1,1,1,0,Eg = 1.53770 + 0.90562*Br² + 1.82231*Cl² - 0.57173*SnBr - 0.33218*SnCl
287,121,3,"Br², Cl², SnCl",No,0.15138851783174717,0.011327791338961269,0.15171787174323875,0.13917391911362686,0.14887225887660063,0.1614537589985159,0.16480181292141394,0.1426408392485785,0.15011803813123373,0.2083260975477382,0.7229345782935578,0.4412718097946154,0.19936225343029002,0,0,0,0,1,1,0,1,0,Eg = 1.52971 + 0.87383*Br² + 1.86129*Cl² - 0.55156*SnCl
288,36,2,"Br², Cl²",No,0.1539213759221989,0.010921432799650747,0.15423746118147638,0.14804352128150533,0.15327891712135183,0.16424726033412532,0.16483037749048637,0.13920680338352567,0.15266807584518005,0.211471092847204,0.7145059966184069,0.4588727443616725,0.203057916575853,0,0,0,0,1,1,0,0,0,Eg = 1.52954 + 0.87167*Br² + 1.74879*Cl²
289,406,6,"Sn, Br, Sn², Br², SnBr, BrCl",No,0.16503241147983136,0.03247901889890906,0.16748936619156957,0.15646399799598268,0.17635711092570405,0.12129419223375752,0.16037294177667102,0.21067381446704161,0.16428473743391628,0.17212630468011567,0.8108573534413421,0.5452089072206489,0.18560524669933592,1,1,0,1,1,0,1,0,1,Eg = 1.60064 - 1.22630*Sn + 0.24696*Br + 1.05376*Sn² + 0.40280*Br² - 0.24217*SnBr + 3.44858*BrCl
290,274,5,"Sn, Br, Sn², Br², BrCl",No,0.16531454160718048,0.030925485120202975,0.16753845073398582,0.15800597256479293,0.17641264671355253,0.12373412826976678,0.15965439609871251,0.20876556438907773,0.16487002586256058,0.17301374698166228,0.8089019766445984,0.5436080162746602,0.18478770298660627,1,1,0,1,1,0,0,0,1,Eg = 1.60933 - 1.24878*Sn + 0.17761*Br + 1.03356*Sn² + 0.45996*Br² + 3.43725*BrCl
291,169,4,"Sn, Sn², Br², BrCl",No,0.1659488844169163,0.03005923638501631,0.1680411540403387,0.15952757185047398,0.17627898730910693,0.1257177626925599,0.15973703785832713,0.20848306237411351,0.1654946672035112,0.17376734387820048,0.807233617750295,0.5388554880745428,0.18494058053861923,1,0,0,1,1,0,0,0,1,Eg = 1.62671 - 1.27880*Sn + 1.06271*Sn² + 0.64830*Br² + 3.51003*BrCl
292,315,5,"Sn, Sn², Br², SnBr, BrCl",No,0.16608845196428274,0.030621135440355503,0.16825734855751961,0.15907606211462075,0.1762346111004838,0.12534954617304364,0.16007403011741236,0.20970801031585318,0.16532523127719617,0.17263035512030128,0.809747970115733,0.5386406930219009,0.18499394276802728,1,0,0,1,1,0,1,0,1,Eg = 1.62576 - 1.27342*Sn + 1.07850*Sn² + 0.65649*Br² - 0.12111*SnBr + 3.52990*BrCl
293,295,5,"Sn, Cl, Sn², Cl², SnBr",No,0.16631142342830946,0.01003703120246813,0.16655575972749712,0.1555173932240232,0.1615574848491559,0.18252676944122612,0.16538747263875278,0.16656799698838917,0.16490564947769276,0.15440033258582145,0.8478081366663148,0.14157216830840913,0.16515455390890882,1,0,1,1,0,1,1,0,0,Eg = 1.68267 - 1.29085*Sn + 2.74102*Cl + 0.92131*Sn² - 1.41680*Cl² + 0.49505*SnBr
294,299,5,"Sn, Cl, Sn², SnBr, BrCl",No,0.16648356361488964,0.00995459233741018,0.16672478655658257,0.15597726444301685,0.1619709054476419,0.18274491365392895,0.16540087322910219,0.16632386130075827,0.16496388470577553,0.15420790324460565,0.848187254117772,0.14148795263816627,0.16490005248745196,1,0,1,1,0,0,1,0,1,Eg = 1.68265 - 1.29514*Sn + 1.32462*Cl + 0.92561*Sn² + 0.51329*SnBr + 1.41767*BrCl
295,424,6,"Sn, Cl, Sn², Cl², SnBr, BrCl",No,0.16650521321626793,0.009900748023616627,0.16674295081226354,0.15597431089124125,0.16177018182377256,0.18255691769227533,0.16547479932240652,0.16674985635164397,0.164902120108827,0.1544815700321709,0.8476479436059969,0.14176458690311125,0.16525653671013388,1,0,1,1,0,1,1,0,1,Eg = 1.68269 - 1.28960*Sn + 3.18458*Cl + 0.92001*Sn² - 1.85976*Cl² + 0.48964*SnBr - 0.44736*BrCl
296,318,5,"Sn, Sn², Cl², SnBr, BrCl",No,0.1667118275442383,0.009801919911578385,0.1669468636791614,0.15680722391856833,0.16231745592265842,0.18297970116898,0.1653293405427191,0.1661254161682657,0.16508301755957708,0.15406493207016608,0.8484686247152807,0.14123722132047548,0.164675875518613,1,0,0,1,0,1,1,0,1,Eg = 1.68265 - 1.29921*Sn + 0.92979*Sn² + 1.32267*Cl² + 0.52989*SnBr + 2.74807*BrCl
297,279,5,"Sn, Br, Sn², SnBr, BrCl",No,0.16688669928005637,0.03346218336041066,0.16946380564618305,0.15596203692104785,0.1789909726056791,0.12196720672467405,0.16387030096590063,0.21364297918298028,0.16660173804877196,0.17745007968939006,0.7989762507192463,0.5514599134539231,0.19049470963153886,1,1,0,1,0,0,1,0,1,Eg = 1.57009 - 1.16763*Sn + 0.59465*Br + 1.01817*Sn² - 0.37894*SnBr + 3.38879*BrCl
298,140,4,"Sn, Br, Sn², BrCl",No,0.16845230936336233,0.031144089734495714,0.17066311204785048,0.15928472787973574,0.17987393558649895,0.1270222634241323,0.16373505369843086,0.2123455662280138,0.16813371212125672,0.17458467880910788,0.8054159547461441,0.5496320002955021,0.1877704885119668,1,1,0,1,0,0,0,0,1,Eg = 1.57750 - 1.19169*Sn + 0.56063*Br + 0.97521*Sn² + 3.35508*BrCl
