model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cl^2,shap_term__Sn*Br,shap_term__Sn*Cl,shap_term__Cs*Br,shap_term__Cs*Cl,shap_reconstruction_error
m4_full_s3,33,0.6,0.0,0.0,0.0,1.25,1.2210202398644923,1.6512277992277937,-0.4943891931620792,-0.08291688231396835,-0.0396239645662496,-0.010985655328974532,0.22417454996791858,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,34,0.0,0.14,0.0,0.08,1.61,1.6214140665594985,1.6512277992277937,0.1515777687699602,-0.026213291334582375,-0.0396239645662496,-0.0035691066630262375,-0.09117311925898199,-0.027948101167846864,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0013371871703445628,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,35,0.0,0.0,0.0,0.2,1.634,1.5701809042345019,1.6512277992277937,0.1515777687699602,-0.08291688231396835,-0.0396239645662496,0.0075557163358962055,-0.09117311925898199,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,36,0.0,0.033,0.0,0.1,1.55,1.5743940485795034,1.6512277992277937,0.1515777687699602,-0.06955103586882737,-0.0396239645662496,-0.0017149694965391633,-0.09117311925898199,-0.03406330116176628,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0019159765520269877,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,37,0.0,0.2,0.0,0.0,1.57,1.6458588594910104,1.6512277992277937,0.1515777687699602,-0.0019117523434169605,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.0212088607229246,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,38,0.5,0.0,0.0,0.0,1.254,1.2323251679227236,1.6512277992277937,-0.3867280328400726,-0.08291688231396835,-0.0396239645662496,-0.010985655328974532,0.12781831770414342,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,39,0.6,0.3,0.0,0.0,1.25,1.3379150486535696,1.6512277992277937,-0.4943891931620792,0.03859081264185872,-0.0396239645662496,-0.010985655328974532,0.22417454996791858,-0.004691114534389648,-0.0009956828623808517,-0.030484885252699954,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,40,0.0,0.0,0.0,0.11,1.62,1.5618372869853099,1.6512277992277937,0.1515777687699602,-0.08291688231396835,-0.0396239645662496,-0.0007879009132956269,-0.09117311925898199,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,41,0.0,0.7,0.0,0.0,2.03,1.9970314001142033,1.6512277992277937,0.1515777687699602,0.20060107258296145,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,0.12745085497389,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,42,0.25,0.167,0.0,0.05,1.34,1.410144535166025,1.6512277992277937,-0.1175751320350562,-0.01527759878855794,-0.0396239645662496,-0.006350312412756848,-0.036425260018200636,-0.025209789204711543,-0.0009956828623808517,-0.004106148299532692,0.00042770367681941815,0.0015459909346223996,0.0025069295142354305,4.440892098500626e-16
